,Unnamed: 0,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
0,0,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2413.0,3446.0,5859.0,1,0,1,0,"4900 MERIDIAN ST, NORMAL, AL","[34.7936653, -86.57152880000001]",34.7936653,-86.5715288,0.0,0.2,0.0,0.2,"Alabama A & M University<br>Normal, AL<br>Crime Count: 0<br>Enrollment: 5859<br>Rate per 1000 students: 0.0","Alabama A & M University<br>Normal, AL<br>Crime Count: 1<br>Enrollment: 5859<br>Rate per 1000 students: 0.2","Alabama A & M University<br>Normal, AL<br>Crime Count: 0<br>Enrollment: 5859<br>Rate per 1000 students: 0.0","Alabama A & M University<br>Normal, AL<br>Crime Count: 1<br>Enrollment: 5859<br>Rate per 1000 students: 0.2"
1,5,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 4-year or above",1952.0,3366.0,5318.0,0,0,3,3,"915 SOUTH JACKSON ST, MONTGOMERY, AL","[32.3650918, -86.2956923]",32.3650918,-86.2956923,0.6,0.6,0.0,0.0,"Alabama State University<br>Montgomery, AL<br>Crime Count: 3<br>Enrollment: 5318<br>Rate per 1000 students: 0.6","Alabama State University<br>Montgomery, AL<br>Crime Count: 3<br>Enrollment: 5318<br>Rate per 1000 students: 0.6","Alabama State University<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 5318<br>Rate per 1000 students: 0.0","Alabama State University<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 5318<br>Rate per 1000 students: 0.0"
2,89,University of South Alabama,Main Campus,307 N UNIVERSITY BLVD,MOBILE,AL,366880002,1,"Public, 4-year or above",6516.0,9927.0,16443.0,8,2,1,0,"307 N UNIVERSITY BLVD, MOBILE, AL","[30.6954258, -88.1752139]",30.6954258,-88.1752139,0.0,0.1,0.1,0.5,"University of South Alabama<br>Mobile, AL<br>Crime Count: 0<br>Enrollment: 16443<br>Rate per 1000 students: 0.0","University of South Alabama<br>Mobile, AL<br>Crime Count: 1<br>Enrollment: 16443<br>Rate per 1000 students: 0.1","University of South Alabama<br>Mobile, AL<br>Crime Count: 2<br>Enrollment: 16443<br>Rate per 1000 students: 0.1","University of South Alabama<br>Mobile, AL<br>Crime Count: 8<br>Enrollment: 16443<br>Rate per 1000 students: 0.5"
3,95,Troy University,Troy Campus,University Avenue,TROY,AL,360820001,1,"Public, 4-year or above",6871.0,10984.0,17855.0,2,1,1,0,"University Avenue, TROY, AL","[31.7972059, -85.9517144]",31.7972059,-85.9517144,0.0,0.1,0.1,0.1,"Troy University<br>Troy, AL<br>Crime Count: 0<br>Enrollment: 17855<br>Rate per 1000 students: 0.0","Troy University<br>Troy, AL<br>Crime Count: 1<br>Enrollment: 17855<br>Rate per 1000 students: 0.1","Troy University<br>Troy, AL<br>Crime Count: 1<br>Enrollment: 17855<br>Rate per 1000 students: 0.1","Troy University<br>Troy, AL<br>Crime Count: 2<br>Enrollment: 17855<br>Rate per 1000 students: 0.1"
4,103,Tuskegee University,TUSKEGEE UNIVERSITY,"Kresge Center, 3rd Floor RM 310",Tuskegee,AL,360881920,2,"Private nonprofit, 4-year or above",1083.0,1768.0,2851.0,0,0,0,4,"Kresge Center, 3rd Floor RM 310, Tuskegee, AL","[32.430112, -85.70669099999999]",32.430112,-85.706691,1.4,0.0,0.0,0.0,"Tuskegee University<br>Tuskegee, AL<br>Crime Count: 4<br>Enrollment: 2851<br>Rate per 1000 students: 1.4","Tuskegee University<br>Tuskegee, AL<br>Crime Count: 0<br>Enrollment: 2851<br>Rate per 1000 students: 0.0","Tuskegee University<br>Tuskegee, AL<br>Crime Count: 0<br>Enrollment: 2851<br>Rate per 1000 students: 0.0","Tuskegee University<br>Tuskegee, AL<br>Crime Count: 0<br>Enrollment: 2851<br>Rate per 1000 students: 0.0"
5,198,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W DEER VALLEY RD,PHOENIX,AZ,85027,6,"Private for-profit, 2-year",1127.0,55.0,1182.0,0,1,0,0,"2844 W DEER VALLEY RD, PHOENIX, AZ","[33.6844981, -112.1215044]",33.6844981,-112.1215044,0.0,0.0,0.8,0.0,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 1182<br>Rate per 1000 students: 0.0","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 1182<br>Rate per 1000 students: 0.0","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division<br>Phoenix, AZ<br>Crime Count: 1<br>Enrollment: 1182<br>Rate per 1000 students: 0.8","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division<br>Phoenix, AZ<br>Crime Count: 0<br>Enrollment: 1182<br>Rate per 1000 students: 0.0"
11,395,Academy of Art University,Main Campus,79 NEW MONTGOMERY,SAN FRANCISCO,CA,94105,3,"Private for-profit, 4-year or above",5128.0,7480.0,12608.0,2,1,0,4,"79 NEW MONTGOMERY, SAN FRANCISCO, CA","[37.7879584, -122.4004678]",37.7879584,-122.4004678,0.3,0.0,0.1,0.2,"Academy of Art University<br>San Francisco, CA<br>Crime Count: 4<br>Enrollment: 12608<br>Rate per 1000 students: 0.3","Academy of Art University<br>San Francisco, CA<br>Crime Count: 0<br>Enrollment: 12608<br>Rate per 1000 students: 0.0","Academy of Art University<br>San Francisco, CA<br>Crime Count: 1<br>Enrollment: 12608<br>Rate per 1000 students: 0.1","Academy of Art University<br>San Francisco, CA<br>Crime Count: 2<br>Enrollment: 12608<br>Rate per 1000 students: 0.2"
12,424,Bakersfield College,Bakersfield College,1801 Panorama Drive,Bakersfield,CA,933051299,4,"Public, 2-year",10124.0,12586.0,22710.0,1,0,1,0,"1801 Panorama Drive, Bakersfield, CA","[35.4079936, -118.971651]",35.4079936,-118.971651,0.0,0.0,0.0,0.0,"Bakersfield College<br>Bakersfield, CA<br>Crime Count: 0<br>Enrollment: 22710<br>Rate per 1000 students: 0.0","Bakersfield College<br>Bakersfield, CA<br>Crime Count: 1<br>Enrollment: 22710<br>Rate per 1000 students: 0.0","Bakersfield College<br>Bakersfield, CA<br>Crime Count: 0<br>Enrollment: 22710<br>Rate per 1000 students: 0.0","Bakersfield College<br>Bakersfield, CA<br>Crime Count: 1<br>Enrollment: 22710<br>Rate per 1000 students: 0.0"
13,436,Cabrillo College,Aptos Campus,6500 SOQUEL DR,APTOS,CA,95003,4,"Public, 2-year",5466.0,6512.0,11978.0,0,0,0,3,"6500 SOQUEL DR, APTOS, CA","[36.9870845, -121.9255315]",36.9870845,-121.9255315,0.3,0.0,0.0,0.0,"Cabrillo College<br>Aptos, CA<br>Crime Count: 3<br>Enrollment: 11978<br>Rate per 1000 students: 0.3","Cabrillo College<br>Aptos, CA<br>Crime Count: 0<br>Enrollment: 11978<br>Rate per 1000 students: 0.0","Cabrillo College<br>Aptos, CA<br>Crime Count: 0<br>Enrollment: 11978<br>Rate per 1000 students: 0.0","Cabrillo College<br>Aptos, CA<br>Crime Count: 0<br>Enrollment: 11978<br>Rate per 1000 students: 0.0"
16,470,California State University-Fullerton,Main Campus,800 N STATE COLLEGE BLVD,FULLERTON,CA,928319480,1,"Public, 4-year or above",17625.0,22610.0,40235.0,3,2,1,4,"800 N STATE COLLEGE BLVD, FULLERTON, CA","[33.8791104, -117.8835005]",33.8791104,-117.8835005,0.1,0.0,0.0,0.1,"California State University-Fullerton<br>Fullerton, CA<br>Crime Count: 4<br>Enrollment: 40235<br>Rate per 1000 students: 0.1","California State University-Fullerton<br>Fullerton, CA<br>Crime Count: 1<br>Enrollment: 40235<br>Rate per 1000 students: 0.0","California State University-Fullerton<br>Fullerton, CA<br>Crime Count: 2<br>Enrollment: 40235<br>Rate per 1000 students: 0.0","California State University-Fullerton<br>Fullerton, CA<br>Crime Count: 3<br>Enrollment: 40235<br>Rate per 1000 students: 0.1"
17,478,California State University-Long Beach,Main Campus,1250 BELLFLOWER BLVD,LONG BEACH,CA,908400115,1,"Public, 4-year or above",16103.0,21673.0,37776.0,3,3,2,4,"1250 BELLFLOWER BLVD, LONG BEACH, CA","[33.7770433, -118.1143953]",33.7770433,-118.1143953,0.1,0.1,0.1,0.1,"California State University-Long Beach<br>Long Beach, CA<br>Crime Count: 4<br>Enrollment: 37776<br>Rate per 1000 students: 0.1","California State University-Long Beach<br>Long Beach, CA<br>Crime Count: 2<br>Enrollment: 37776<br>Rate per 1000 students: 0.1","California State University-Long Beach<br>Long Beach, CA<br>Crime Count: 3<br>Enrollment: 37776<br>Rate per 1000 students: 0.1","California State University-Long Beach<br>Long Beach, CA<br>Crime Count: 3<br>Enrollment: 37776<br>Rate per 1000 students: 0.1"
19,488,University of California-Los Angeles,UCLA,405 HILGARD AVE,LOS ANGELES,CA,900951364,1,"Public, 4-year or above",20268.0,23280.0,43548.0,15,9,3,18,"405 HILGARD AVE, LOS ANGELES, CA","[34.0725988, -118.439277]",34.0725988,-118.439277,0.4,0.1,0.2,0.3,"University of California-Los Angeles<br>Los Angeles, CA<br>Crime Count: 18<br>Enrollment: 43548<br>Rate per 1000 students: 0.4","University of California-Los Angeles<br>Los Angeles, CA<br>Crime Count: 3<br>Enrollment: 43548<br>Rate per 1000 students: 0.1","University of California-Los Angeles<br>Los Angeles, CA<br>Crime Count: 9<br>Enrollment: 43548<br>Rate per 1000 students: 0.2","University of California-Los Angeles<br>Los Angeles, CA<br>Crime Count: 15<br>Enrollment: 43548<br>Rate per 1000 students: 0.3"
21,493,University of California-San Francisco,Mount Zion,1600 Divisadero Street,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,0,0,1,"1600 Divisadero Street, San Francisco, CA","[37.784695, -122.4392274]",37.784695,-122.4392274,0.3,0.0,0.0,0.0,"University of California-San Francisco<br>San Francisco, CA<br>Crime Count: 1<br>Enrollment: 3145<br>Rate per 1000 students: 0.3","University of California-San Francisco<br>San Francisco, CA<br>Crime Count: 0<br>Enrollment: 3145<br>Rate per 1000 students: 0.0","University of California-San Francisco<br>San Francisco, CA<br>Crime Count: 0<br>Enrollment: 3145<br>Rate per 1000 students: 0.0","University of California-San Francisco<br>San Francisco, CA<br>Crime Count: 0<br>Enrollment: 3145<br>Rate per 1000 students: 0.0"
22,507,College of the Canyons,College of the Canyons,26455 ROCKWELL CANYON RD,Valencia,CA,913551899,4,"Public, 2-year",10708.0,9258.0,19966.0,0,2,0,0,"26455 ROCKWELL CANYON RD, Valencia, CA","[34.4043825, -118.5705879]",34.4043825,-118.5705879,0.0,0.0,0.1,0.0,"College of the Canyons<br>Valencia, CA<br>Crime Count: 0<br>Enrollment: 19966<br>Rate per 1000 students: 0.0","College of the Canyons<br>Valencia, CA<br>Crime Count: 0<br>Enrollment: 19966<br>Rate per 1000 students: 0.0","College of the Canyons<br>Valencia, CA<br>Crime Count: 2<br>Enrollment: 19966<br>Rate per 1000 students: 0.1","College of the Canyons<br>Valencia, CA<br>Crime Count: 0<br>Enrollment: 19966<br>Rate per 1000 students: 0.0"
23,534,Citrus College,Main Campus,1000 W Foothill Blvd.,Glendora,CA,917411899,4,"Public, 2-year",5929.0,6824.0,12753.0,0,2,0,0,"1000 W Foothill Blvd., Glendora, CA","[34.1355248, -117.885398]",34.1355248,-117.885398,0.0,0.0,0.2,0.0,"Citrus College<br>Glendora, CA<br>Crime Count: 0<br>Enrollment: 12753<br>Rate per 1000 students: 0.0","Citrus College<br>Glendora, CA<br>Crime Count: 0<br>Enrollment: 12753<br>Rate per 1000 students: 0.0","Citrus College<br>Glendora, CA<br>Crime Count: 2<br>Enrollment: 12753<br>Rate per 1000 students: 0.2","Citrus College<br>Glendora, CA<br>Crime Count: 0<br>Enrollment: 12753<br>Rate per 1000 students: 0.0"
24,589,Fashion Institute of Design & Merchandising-Los Angeles,Main Campus,919 S GRAND AVE,LOS ANGELES,CA,900151421,3,"Private for-profit, 4-year or above",289.0,2335.0,2624.0,0,0,0,1,"919 S GRAND AVE, LOS ANGELES, CA","[34.0441185, -118.2600399]",34.0441185,-118.2600399,0.4,0.0,0.0,0.0,"Fashion Institute of Design & Merchandising-Los Angeles<br>Los Angeles, CA<br>Crime Count: 1<br>Enrollment: 2624<br>Rate per 1000 students: 0.4","Fashion Institute of Design & Merchandising-Los Angeles<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 2624<br>Rate per 1000 students: 0.0","Fashion Institute of Design & Merchandising-Los Angeles<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 2624<br>Rate per 1000 students: 0.0","Fashion Institute of Design & Merchandising-Los Angeles<br>Los Angeles, CA<br>Crime Count: 0<br>Enrollment: 2624<br>Rate per 1000 students: 0.0"
25,623,Glendale Community College,Garfield Campus,1122 E. Garfield Ave,Glendale,CA,912052526,4,"Public, 2-year",6933.0,8245.0,15178.0,0,0,1,0,"1122 E. Garfield Ave, Glendale, CA","[34.1359373, -118.2405981]",34.1359373,-118.2405981,0.0,0.1,0.0,0.0,"Glendale Community College<br>Glendale, CA<br>Crime Count: 0<br>Enrollment: 15178<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, CA<br>Crime Count: 1<br>Enrollment: 15178<br>Rate per 1000 students: 0.1","Glendale Community College<br>Glendale, CA<br>Crime Count: 0<br>Enrollment: 15178<br>Rate per 1000 students: 0.0","Glendale Community College<br>Glendale, CA<br>Crime Count: 0<br>Enrollment: 15178<br>Rate per 1000 students: 0.0"
26,636,Harvey Mudd College,Main Campus,301 Platt Boulevard,Claremont,CA,917113947,2,"Private nonprofit, 4-year or above",457.0,385.0,842.0,5,8,0,0,"301 Platt Boulevard, Claremont, CA","[34.1061112, -117.7089441]",34.1061112,-117.7089441,0.0,0.0,9.5,5.9,"Harvey Mudd College<br>Claremont, CA<br>Crime Count: 0<br>Enrollment: 842<br>Rate per 1000 students: 0.0","Harvey Mudd College<br>Claremont, CA<br>Crime Count: 0<br>Enrollment: 842<br>Rate per 1000 students: 0.0","Harvey Mudd College<br>Claremont, CA<br>Crime Count: 8<br>Enrollment: 842<br>Rate per 1000 students: 9.5","Harvey Mudd College<br>Claremont, CA<br>Crime Count: 5<br>Enrollment: 842<br>Rate per 1000 students: 5.9"
27,640,Humboldt State University,Humboldt State University,1 HARPST STREET,ARCATA,CA,955218299,1,"Public, 4-year or above",3716.0,4787.0,8503.0,4,1,2,2,"1 HARPST STREET, ARCATA, CA","[40.8770251, -124.0791468]",40.8770251,-124.0791468,0.2,0.2,0.1,0.5,"Humboldt State University<br>Arcata, CA<br>Crime Count: 2<br>Enrollment: 8503<br>Rate per 1000 students: 0.2","Humboldt State University<br>Arcata, CA<br>Crime Count: 2<br>Enrollment: 8503<br>Rate per 1000 students: 0.2","Humboldt State University<br>Arcata, CA<br>Crime Count: 1<br>Enrollment: 8503<br>Rate per 1000 students: 0.1","Humboldt State University<br>Arcata, CA<br>Crime Count: 4<br>Enrollment: 8503<br>Rate per 1000 students: 0.5"
28,682,Loma Linda University,Loma Linda University,11206 Campus Street Suite A,LOMA LINDA,CA,92354,2,"Private nonprofit, 4-year or above",1633.0,2811.0,4444.0,0,2,0,0,"11206 Campus Street Suite A, LOMA LINDA, CA","[34.0499579, -117.266044]",34.0499579,-117.266044,0.0,0.0,0.5,0.0,"Loma Linda University<br>Loma Linda, CA<br>Crime Count: 0<br>Enrollment: 4444<br>Rate per 1000 students: 0.0","Loma Linda University<br>Loma Linda, CA<br>Crime Count: 0<br>Enrollment: 4444<br>Rate per 1000 students: 0.0","Loma Linda University<br>Loma Linda, CA<br>Crime Count: 2<br>Enrollment: 4444<br>Rate per 1000 students: 0.5","Loma Linda University<br>Loma Linda, CA<br>Crime Count: 0<br>Enrollment: 4444<br>Rate per 1000 students: 0.0"
