,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
0,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7590,11945,19535,6,1,3,3,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So, BIRMINGHAM, AL, 352940110","[33.5058651, -86.7994508]",33.5058651,-86.7994508,0.2,0.2,0.1,0.3,"University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 3<br>Enrollment: 19535<br>Rate per 1000 students: 0.2","University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 3<br>Enrollment: 19535<br>Rate per 1000 students: 0.2","University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 1<br>Enrollment: 19535<br>Rate per 1000 students: 0.1","University of Alabama at Birmingham<br>Birmingham, AL<br>Crime Count: 6<br>Enrollment: 19535<br>Rate per 1000 students: 0.3"
1,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4833,3635,8468,1,2,0,0,"301 SPARKMAN DR, HUNTSVILLE, AL, 35899","[34.7251407, -86.6397853]",34.7251407,-86.6397853,0,0,0.2,0.1,"University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 8468<br>Rate per 1000 students: 0.0","University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 0<br>Enrollment: 8468<br>Rate per 1000 students: 0.0","University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 2<br>Enrollment: 8468<br>Rate per 1000 students: 0.2","University of Alabama in Huntsville<br>Huntsville, AL<br>Crime Count: 1<br>Enrollment: 8468<br>Rate per 1000 students: 0.1"
2,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16589,21074,37663,21,4,1,11,"1110 Jackson Ave, TUSCALOOSA, AL, 354870180","[33.2052429, -87.5334862]",33.2052429,-87.5334862,0.3,0,0.1,0.6,"The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 11<br>Enrollment: 37663<br>Rate per 1000 students: 0.3","The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 1<br>Enrollment: 37663<br>Rate per 1000 students: 0.0","The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 4<br>Enrollment: 37663<br>Rate per 1000 students: 0.1","The University of Alabama<br>Tuscaloosa, AL<br>Crime Count: 21<br>Enrollment: 37663<br>Rate per 1000 students: 0.6"
3,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1711,3167,4878,2,0,2,4,"7400 EAST DRIVE, MONTGOMERY, AL, 361173596","[32.367098, -86.1778645]",32.367098,-86.1778645,0.8,0.4,0,0.4,"Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 4<br>Enrollment: 4878<br>Rate per 1000 students: 0.8","Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 2<br>Enrollment: 4878<br>Rate per 1000 students: 0.4","Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 4878<br>Rate per 1000 students: 0.0","Auburn University at Montgomery<br>Montgomery, AL<br>Crime Count: 2<br>Enrollment: 4878<br>Rate per 1000 students: 0.4"
4,Auburn University,Auburn University,23 Samford Hall,Auburn,AL,36849,1,"Public, 4-year or above",14309,13981,28290,11,3,3,18,"23 Samford Hall, Auburn, AL, 36849","[32.6047401, -85.48279269999999]",32.6047401,-85.4827927,0.6,0.1,0.1,0.4,"Auburn University<br>Auburn, AL<br>Crime Count: 18<br>Enrollment: 28290<br>Rate per 1000 students: 0.6","Auburn University<br>Auburn, AL<br>Crime Count: 3<br>Enrollment: 28290<br>Rate per 1000 students: 0.1","Auburn University<br>Auburn, AL<br>Crime Count: 3<br>Enrollment: 28290<br>Rate per 1000 students: 0.1","Auburn University<br>Auburn, AL<br>Crime Count: 11<br>Enrollment: 28290<br>Rate per 1000 students: 0.4"
5,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",635,658,1293,0,2,0,0,"900 Arkadelphia Road, Birmingham, AL, 35254","[33.5162196, -86.8500962]",33.5162196,-86.8500962,0,0,1.5,0,"Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 1293<br>Rate per 1000 students: 0.0","Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 1293<br>Rate per 1000 students: 0.0","Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 2<br>Enrollment: 1293<br>Rate per 1000 students: 1.5","Birmingham Southern College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 1293<br>Rate per 1000 students: 0.0"
6,Concordia College Alabama,Main Campus,1712 Broad Street,SELMA,AL,36701,2,"Private nonprofit, 4-year or above",174,166,340,0,0,0,1,"1712 Broad Street, SELMA, AL, 36701","[32.4247261, -87.0215336]",32.4247261,-87.0215336,2.9,0,0,0,"Concordia College Alabama<br>Selma, AL<br>Crime Count: 1<br>Enrollment: 340<br>Rate per 1000 students: 2.9","Concordia College Alabama<br>Selma, AL<br>Crime Count: 0<br>Enrollment: 340<br>Rate per 1000 students: 0.0","Concordia College Alabama<br>Selma, AL<br>Crime Count: 0<br>Enrollment: 340<br>Rate per 1000 students: 0.0","Concordia College Alabama<br>Selma, AL<br>Crime Count: 0<br>Enrollment: 340<br>Rate per 1000 students: 0.0"
7,James H Faulkner State Community College,Main Campus - Bay Minette,1900 US HWY 31 South,Bay Minette,AL,365072698,4,"Public, 2-year",1806,2975,4781,0,0,0,1,"1900 US HWY 31 South, Bay Minette, AL, 365072698","[30.8516559, -87.7773586]",30.8516559,-87.7773586,0.2,0,0,0,"James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 1<br>Enrollment: 4781<br>Rate per 1000 students: 0.2","James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 0<br>Enrollment: 4781<br>Rate per 1000 students: 0.0","James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 0<br>Enrollment: 4781<br>Rate per 1000 students: 0.0","James H Faulkner State Community College<br>Bay Minette, AL<br>Crime Count: 0<br>Enrollment: 4781<br>Rate per 1000 students: 0.0"
8,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148,2,"Private nonprofit, 4-year or above",587,561,1148,1,0,0,0,"1500 East Fairview Avenue, Montgomery, AL, 361062148","[32.350121, -86.285427]",32.350121,-86.285427,0,0,0,0.9,"Huntingdon College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1148<br>Rate per 1000 students: 0.0","Huntingdon College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1148<br>Rate per 1000 students: 0.0","Huntingdon College<br>Montgomery, AL<br>Crime Count: 0<br>Enrollment: 1148<br>Rate per 1000 students: 0.0","Huntingdon College<br>Montgomery, AL<br>Crime Count: 1<br>Enrollment: 1148<br>Rate per 1000 students: 0.9"
9,J F Ingram State Technical College,J.F. Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,4,"Public, 2-year",333,113,446,0,0,0,1,"5375 Ingram Rd, Deatsville, AL, 36022","[32.5812498, -86.3910341]",32.5812498,-86.3910341,2.2,0,0,0,"J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 1<br>Enrollment: 446<br>Rate per 1000 students: 2.2","J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 0<br>Enrollment: 446<br>Rate per 1000 students: 0.0","J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 0<br>Enrollment: 446<br>Rate per 1000 students: 0.0","J F Ingram State Technical College<br>Deatsville, AL<br>Crime Count: 0<br>Enrollment: 446<br>Rate per 1000 students: 0.0"
10,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 4-year or above",3601,4913,8514,0,0,1,0,"700 Pelham Road North, Jacksonville, AL, 36265","[33.8301421, -85.7608169]",33.8301421,-85.7608169,0,0.1,0,0,"Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 0<br>Enrollment: 8514<br>Rate per 1000 students: 0.0","Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 1<br>Enrollment: 8514<br>Rate per 1000 students: 0.1","Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 0<br>Enrollment: 8514<br>Rate per 1000 students: 0.0","Jacksonville State University<br>Jacksonville, AL<br>Crime Count: 0<br>Enrollment: 8514<br>Rate per 1000 students: 0.0"
11,Jefferson State Community College,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098,4,"Public, 2-year",3473,5465,8938,1,0,0,0,"2601 CARSON RD, BIRMINGHAM, AL, 352153098","[33.6518095, -86.70808760000001]",33.6518095,-86.7080876,0,0,0,0.1,"Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 8938<br>Rate per 1000 students: 0.0","Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 8938<br>Rate per 1000 students: 0.0","Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 8938<br>Rate per 1000 students: 0.0","Jefferson State Community College<br>Birmingham, AL<br>Crime Count: 1<br>Enrollment: 8938<br>Rate per 1000 students: 0.1"
12,Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717,4,"Public, 2-year",1342,1786,3128,0,0,1,0,"3060 WILSON RD SW, BIRMINGHAM, AL, 352211717","[33.4510099, -86.88955]",33.4510099,-86.88955,0,0.3,0,0,"Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 3128<br>Rate per 1000 students: 0.0","Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 1<br>Enrollment: 3128<br>Rate per 1000 students: 0.3","Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 3128<br>Rate per 1000 students: 0.0","Lawson State Community College-Birmingham Campus<br>Birmingham, AL<br>Crime Count: 0<br>Enrollment: 3128<br>Rate per 1000 students: 0.0"
13,University of West Alabama,University of West Alabama,STATION 1,LIVINGSTON,AL,35470,1,"Public, 4-year or above",1270,2716,3986,0,1,0,1,"STATION 1, LIVINGSTON, AL, 35470","[32.5971376, -88.1869512]",32.5971376,-88.1869512,0.3,0,0.3,0,"University of West Alabama<br>Livingston, AL<br>Crime Count: 1<br>Enrollment: 3986<br>Rate per 1000 students: 0.3","University of West Alabama<br>Livingston, AL<br>Crime Count: 0<br>Enrollment: 3986<br>Rate per 1000 students: 0.0","University of West Alabama<br>Livingston, AL<br>Crime Count: 1<br>Enrollment: 3986<br>Rate per 1000 students: 0.3","University of West Alabama<br>Livingston, AL<br>Crime Count: 0<br>Enrollment: 3986<br>Rate per 1000 students: 0.0"
14,Marion Military Institute,Main Campus,1101 Washington St.,Marion,AL,36756,4,"Public, 2-year",333,92,425,1,1,0,0,"1101 Washington St., Marion, AL, 36756","[32.6247265, -87.31848260000001]",32.6247265,-87.3184826,0,0,2.4,2.4,"Marion Military Institute<br>Marion, AL<br>Crime Count: 0<br>Enrollment: 425<br>Rate per 1000 students: 0.0","Marion Military Institute<br>Marion, AL<br>Crime Count: 0<br>Enrollment: 425<br>Rate per 1000 students: 0.0","Marion Military Institute<br>Marion, AL<br>Crime Count: 1<br>Enrollment: 425<br>Rate per 1000 students: 2.4","Marion Military Institute<br>Marion, AL<br>Crime Count: 1<br>Enrollment: 425<br>Rate per 1000 students: 2.4"
