,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng
32,James H Faulkner State Community College,Main Campus - Bay Minette,1900 US HWY 31 South,Bay Minette,AL,365072698,4,"Public, 2-year",1806.0,2975.0,4781.0,0,0,0,1,"James H Faulkner State Community College, 1900 US HWY 31 South, Bay Minette, AL 365072698",
94,H Councill Trenholm State Community College,Main Campus - Trenholm Campus,P.O. Box 10048,MONTGOMERY,AL,361083199,4,"Public, 2-year",811.0,850.0,1661.0,0,0,1,0,"H Councill Trenholm State Community College, P.O. Box 10048, MONTGOMERY, AL 361083199",
95,Troy University,Troy Campus,University Avenue,TROY,AL,360820001,1,"Public, 4-year or above",6871.0,10984.0,17855.0,2,1,1,0,"Troy University, University Avenue, TROY, AL 360820001",
103,Tuskegee University,TUSKEGEE UNIVERSITY,"Kresge Center, 3rd Floor RM 310",Tuskegee,AL,360881920,2,"Private nonprofit, 4-year or above",1083.0,1768.0,2851.0,0,0,0,4,"Tuskegee University, Kresge Center, 3rd Floor RM 310, Tuskegee, AL 360881920",
106,University of Alaska Anchorage,Anchorage Campus,3211 Providence Dr,Anchorage,AK,99508,1,"Public, 4-year or above",6821.0,9497.0,16318.0,2,0,0,1,"University of Alaska Anchorage, 3211 Providence Dr, Anchorage, AK 99508",
186,Glendale Community College,Main Campus,6000 W OLIVE AVE,GLENDALE,AZ,85302,4,"Public, 2-year",8760.0,10240.0,19000.0,0,1,0,0,"Glendale Community College, 6000 W OLIVE AVE, GLENDALE, AZ 85302",
198,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W DEER VALLEY RD,PHOENIX,AZ,85027,6,"Private for-profit, 2-year",1127.0,55.0,1182.0,0,1,0,0,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division, 2844 W DEER VALLEY RD, PHOENIX, AZ 85027",
200,Dine College,Shiprock,Box 580,Shiprock,NM,87420,1,"Public, 4-year or above",463.0,933.0,1396.0,0,0,0,1,"Dine College, Box 580, Shiprock, NM 87420",
205,Northern Arizona University,Flagstaff Mountain Campus,"Knoles Drive, Babbit Administrative Ctr",FLAGSTAFF,AZ,860114132,1,"Public, 4-year or above",12014.0,18347.0,30361.0,23,2,2,9,"Northern Arizona University, Knoles Drive, Babbit Administrative Ctr, FLAGSTAFF, AZ 860114132",
289,University of Arkansas at Little Rock,"University of Arkansas, Little Rock",2801 S UNIVERSITY AVE,LITTLE ROCK,AR,72204,1,"Public, 4-year or above",4649.0,7097.0,11746.0,0,1,0,0,"University of Arkansas at Little Rock, 2801 S UNIVERSITY AVE, LITTLE ROCK, AR 72204",
