UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD14,NEG_M14,RAPE14,FONDL14,INCES14,STATR14,ROBBE14,AGG_A14,BURGLA14,VEHIC14,ARSON14,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,AGG_A15,BURGLA15,VEHIC15,ARSON15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,FILTER14,FILTER15,FILTER16
100654001,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2413,3446,5859,0,0,0,2,0,0,5,2,6,2,2,0,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,4,0,0,1,1,1
100663001,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7590,11945,19535,0,0,7,4,0,0,2,2,6,7,0,0,0,2,2,0,1,1,3,3,12,0,0,0,6,1,0,1,3,3,4,7,1,1,1,1
100663002,University of Alabama at Birmingham,Huntsville Regional Medical Campus,301 Governors Drive SW,Huntsville,AL,35801,1,"Public, 4-year or above",7590,11945,19535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100690001,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553,2,"Private nonprofit, 4-year or above",233,364,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100706001,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4833,3635,8468,0,0,0,2,0,0,0,1,30,0,0,0,0,2,3,0,0,2,1,22,0,0,0,0,1,2,0,0,0,0,16,1,0,1,1,1
100724001,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 4-year or above",1952,3366,5318,0,0,2,0,0,0,5,7,68,0,0,0,0,0,0,0,0,2,1,16,0,0,0,0,0,0,0,0,3,3,12,0,0,1,1,1
100751001,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16589,21074,37663,0,0,14,3,0,0,4,5,41,5,1,0,0,21,5,0,0,9,5,24,2,1,0,0,21,4,0,0,1,11,34,2,2,1,1,1
100751002,The University of Alabama,University of Alabama Gadsden Center,P.O. Box 1280,Gadsden,AL,359021280,1,"Public, 4-year or above",16589,21074,37663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100760001,Central Alabama Community College,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4,"Public, 2-year",769,1000,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100760002,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4,"Public, 2-year",769,1000,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
