UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,MURD13,NEG_M13,FORCIB13,NONFOR13,ROBBE13,AGG_A13,BURGLA13,VEHIC13,ARSON13,MURD14,NEG_M14,RAPE14,FONDL14,INCES14,STATR14,ROBBE14,AGG_A14,BURGLA14,VEHIC14,ARSON14,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,AGG_A15,BURGLA15,VEHIC15,ARSON15,FILTER13,FILTER14,FILTER15
100654001,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2409,3219,5628,0,0,2,0,2,2,14,1,2,0,0,0,2,0,0,5,2,6,2,2,0,0,2,0,0,0,3,0,1,0,0,1,1,1
100663001,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7185,11148,18333,0,0,2,0,2,0,1,4,0,0,0,7,4,0,0,2,2,6,7,0,0,0,2,2,0,1,1,3,3,12,0,1,1,1
100663002,University of Alabama at Birmingham,Huntsville Regional Medical Campus,301 Governors Drive SW,Huntsville,AL,35801,1,"Public, 4-year or above",7185,11148,18333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100690001,Amridge University,Main Campus,1200 TAYLOR RD,MONTGOMERY,AL,361173553,2,"Private nonprofit, 4-year or above",257,370,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100706001,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4464,3402,7866,0,0,2,0,0,4,22,0,0,0,0,0,2,0,0,0,1,30,0,0,0,0,2,3,0,0,2,1,22,0,0,1,1,1
100724001,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 4-year or above",2017,3366,5383,0,0,2,0,17,10,68,0,0,0,0,2,0,0,0,5,7,68,0,0,0,0,0,0,0,0,2,1,16,0,0,1,1,1
100751001,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16564,20534,37098,0,0,9,0,4,1,26,4,3,0,0,14,3,0,0,4,5,41,5,1,0,0,21,5,0,0,9,5,24,2,1,1,1,1
100751002,The University of Alabama,University of Alabama Gadsden Center,P.O. Box 1280,Gadsden,AL,359021280,1,"Public, 4-year or above",16564,20534,37098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100760001,Central Alabama Community College,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,35010,4,"Public, 2-year",796,991,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
100760002,Central Alabama Community College,Childersburg Campus,34091 Highway 280,Childersburg,AL,35044,4,"Public, 2-year",796,991,1787,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
