,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
0,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,35762,1,"Public, 4-year or above",2413.0,3446.0,5859.0,1,0,1,0,"Alabama A & M University, 4900 MERIDIAN ST, NORMAL, AL 35762","[34.7846326, -86.572031]",34.7846326,-86.572031
1,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,352940110,1,"Public, 4-year or above",7590.0,11945.0,19535.0,6,1,3,3,"University of Alabama at Birmingham, ADMINISTRATION BLDG SUITE 1070, 701 20th Street So, BIRMINGHAM, AL 352940110","[33.5058651, -86.7994508]",33.5058651,-86.7994508
4,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,35899,1,"Public, 4-year or above",4833.0,3635.0,8468.0,1,2,0,0,"University of Alabama in Huntsville, 301 SPARKMAN DR, HUNTSVILLE, AL 35899","[34.7251471, -86.639783]",34.7251471,-86.639783
5,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,361040271,1,"Public, 4-year or above",1952.0,3366.0,5318.0,0,0,3,3,"Alabama State University, 915 SOUTH JACKSON ST, MONTGOMERY, AL 361040271","[32.3636619, -86.2940544]",32.3636619,-86.2940544
6,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16589.0,21074.0,37663.0,21,4,1,11,"The University of Alabama, 1110 Jackson Ave, TUSCALOOSA, AL 354870180","[33.2140233, -87.5391418]",33.2140233,-87.5391418
12,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,361173596,1,"Public, 4-year or above",1711.0,3167.0,4878.0,2,0,2,4,"Auburn University at Montgomery, 7400 EAST DRIVE, MONTGOMERY, AL 361173596","[32.3697457, -86.1766584]",32.3697457,-86.1766584
13,Auburn University,Auburn University,23 Samford Hall,Auburn,AL,36849,1,"Public, 4-year or above",14309.0,13981.0,28290.0,11,3,3,18,"Auburn University, 23 Samford Hall, Auburn, AL 36849","[32.6047401, -85.48279269999999]",32.6047401,-85.4827927
25,Birmingham Southern College,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,2,"Private nonprofit, 4-year or above",635.0,658.0,1293.0,0,2,0,0,"Birmingham Southern College, 900 Arkadelphia Road, Birmingham, AL 35254","[33.5161592, -86.8509922]",33.5161592,-86.8509922
27,Concordia College Alabama,Main Campus,1712 Broad Street,SELMA,AL,36701,2,"Private nonprofit, 4-year or above",174.0,166.0,340.0,0,0,0,1,"Concordia College Alabama, 1712 Broad Street, SELMA, AL 36701","[32.425468, -87.01773399999999]",32.425468,-87.017734
44,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148,2,"Private nonprofit, 4-year or above",587.0,561.0,1148.0,1,0,0,0,"Huntingdon College, 1500 East Fairview Avenue, Montgomery, AL 361062148","[32.3504918, -86.2863163]",32.3504918,-86.2863163
47,J F Ingram State Technical College,J.F. Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,4,"Public, 2-year",333.0,113.0,446.0,0,0,0,1,"J F Ingram State Technical College, 5375 Ingram Rd, Deatsville, AL 36022","[32.58199, -86.3910085]",32.58199,-86.3910085
48,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265,1,"Public, 4-year or above",3601.0,4913.0,8514.0,0,0,1,0,"Jacksonville State University, 700 Pelham Road North, Jacksonville, AL 36265","[33.8230593, -85.7681082]",33.8230593,-85.7681082
51,Jefferson State Community College,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098,4,"Public, 2-year",3473.0,5465.0,8938.0,1,0,0,0,"Jefferson State Community College, 2601 CARSON RD, BIRMINGHAM, AL 352153098","[33.6525536, -86.7082145]",33.6525536,-86.7082145
56,Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717,4,"Public, 2-year",1342.0,1786.0,3128.0,0,0,1,0,"Lawson State Community College-Birmingham Campus, 3060 WILSON RD SW, BIRMINGHAM, AL 352211717","[33.4506233, -86.8891388]",33.4506233,-86.8891388
