,Unnamed: 0,Unnamed: 0.1,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng
0,6,199,Dine College,Main Campus,"Route 12, NHC Bldg. 1st Floor, Room 113",TSAILE,AZ,86556,1,"Public, 4-year or above",463.0,933.0,1396.0,0,0,0,4,"Route 12, NHC Bldg. 1st Floor, Room 113, TSAILE, AZ",
1,7,200,Dine College,Shiprock,Box 580,Shiprock,NM,87420,1,"Public, 4-year or above",463.0,933.0,1396.0,0,0,0,1,"Box 580, Shiprock, NM",
2,8,205,Northern Arizona University,Flagstaff Mountain Campus,"Knoles Drive, Babbit Administrative Ctr",FLAGSTAFF,AZ,860114132,1,"Public, 4-year or above",12014.0,18347.0,30361.0,23,2,2,9,"Knoles Drive, Babbit Administrative Ctr, FLAGSTAFF, AZ",
3,9,293,University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,4301 W MARKHAM SLOT 583,LITTLE ROCK,AR,72205,1,"Public, 4-year or above",938.0,1931.0,2869.0,0,0,0,2,"4301 W MARKHAM SLOT 583, LITTLE ROCK, AR",
4,10,303,University of Arkansas at Pine Bluff,UAPB - University of Arkansas at Pine Bluff,1200 N UNIVERSITY MAIL SLOT 4967,PINE BLUFF,AR,716014967,1,"Public, 4-year or above",1172.0,1649.0,2821.0,0,1,1,0,"1200 N UNIVERSITY MAIL SLOT 4967, PINE BLUFF, AR",
5,14,446,California Institute of Technology,Main Campus,"1200 E CALIFORNIA BLVD, MC 200-63",PASADENA,CA,91125,2,"Private nonprofit, 4-year or above",1479.0,761.0,2240.0,11,2,2,5,"1200 E CALIFORNIA BLVD, MC 200-63, PASADENA, CA",
8,20,490,University of California-San Diego,Main Campus,9500 Gilman Dr Mail Code 0005,La Jolla,CA,920930005,1,"Public, 4-year or above",18807.0,16172.0,34979.0,10,6,3,8,"9500 Gilman Dr Mail Code 0005, La Jolla, CA",
10,51,1585,University of South Florida-Main Campus,USF Tampa Campus,4202 EAST FOWLER AVE  UPB002,TAMPA,FL,336209951,1,"Public, 4-year or above",19485.0,23376.0,42861.0,4,3,4,1,"4202 EAST FOWLER AVE  UPB002, TAMPA, FL",
11,64,1902,Chicago State University,Main Campus,9501 S. King Drive Suite ADM #313,CHICAGO,IL,606281598,1,"Public, 4-year or above",1210.0,2368.0,3578.0,0,0,2,1,"9501 S. King Drive Suite ADM #313, CHICAGO, IL",
12,68,1969,University of Illinois at Chicago,UIC Urbana-Champaign Regional Campus,901 West Illinois Street,Urbana,IL,61801,1,"Public, 4-year or above",13719.0,15401.0,29120.0,1,1,0,0,"901 West Illinois Street, Urbana, IL",
13,70,1992,Illinois State University,Illinois State University,201 S. School St. Hovey Hall rm 421 Campus Box 1000,NORMAL,IL,617901000,1,"Public, 4-year or above",9164.0,11875.0,21039.0,14,2,0,8,"201 S. School St. Hovey Hall rm 421 Campus Box 1000, NORMAL, IL",
