,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
9,University of Illinois at Chicago,UIC Urbana-Champaign Regional Campus,901 West Illinois Street,Urbana,IL,61801,1,"Public, 4-year or above",13719,15401,29120,1,1,0,0,"901 West Illinois Street, Urbana, IL","[40.1083217, -88.2206712]",40.1083217,-88.2206712,0,0,0,0,"University of Illinois at Chicago<br>Urbana, IL<br>Crime Count: 0<br>Enrollment: 29120<br>Rate per 1000 students: 0.0","University of Illinois at Chicago<br>Urbana, IL<br>Crime Count: 0<br>Enrollment: 29120<br>Rate per 1000 students: 0.0","University of Illinois at Chicago<br>Urbana, IL<br>Crime Count: 1<br>Enrollment: 29120<br>Rate per 1000 students: 0.0","University of Illinois at Chicago<br>Urbana, IL<br>Crime Count: 1<br>Enrollment: 29120<br>Rate per 1000 students: 0.0"
12,Wayne State University,Main Campus,656 W KIRBY,DETROIT,MI,48202,1,"Public, 4-year or above",12289,14949,27238,1,1,3,0,"656 W KIRBY, DETROIT, MI","[42.35832629999999, -83.0721008]",42.3583263,-83.0721008,0,0.1,0,0,"Wayne State University<br>Detroit, MI<br>Crime Count: 0<br>Enrollment: 27238<br>Rate per 1000 students: 0.0","Wayne State University<br>Detroit, MI<br>Crime Count: 3<br>Enrollment: 27238<br>Rate per 1000 students: 0.1","Wayne State University<br>Detroit, MI<br>Crime Count: 1<br>Enrollment: 27238<br>Rate per 1000 students: 0.0","Wayne State University<br>Detroit, MI<br>Crime Count: 1<br>Enrollment: 27238<br>Rate per 1000 students: 0.0"
22,Lander University,LANDER UNIVERSITY,320 Stanley Avenue,Greenwood,SC,296492099,1,"Public, 4-year or above",850,1922,2772,3,0,0,0,"320 Stanley Avenue, Greenwood, SC","[34.2010839, -82.1667849]",34.2010839,-82.1667849,0,0,0,1.1,"Lander University<br>Greenwood, SC<br>Crime Count: 0<br>Enrollment: 2772<br>Rate per 1000 students: 0.0","Lander University<br>Greenwood, SC<br>Crime Count: 0<br>Enrollment: 2772<br>Rate per 1000 students: 0.0","Lander University<br>Greenwood, SC<br>Crime Count: 0<br>Enrollment: 2772<br>Rate per 1000 students: 0.0","Lander University<br>Greenwood, SC<br>Crime Count: 3<br>Enrollment: 2772<br>Rate per 1000 students: 1.1"
35,Universidad Metropolitana,Bayamon,"CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F",BAYAMON,PR,960,2,"Private nonprofit, 4-year or above",4795,8841,13636,0,0,3,0,"CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F, BAYAMON, PR","[18.395039, -66.1497116]",18.395039,-66.1497116,0,0.2,0,0,"Universidad Metropolitana<br>Bayamon, PR<br>Crime Count: 0<br>Enrollment: 13636<br>Rate per 1000 students: 0.0","Universidad Metropolitana<br>Bayamon, PR<br>Crime Count: 3<br>Enrollment: 13636<br>Rate per 1000 students: 0.2","Universidad Metropolitana<br>Bayamon, PR<br>Crime Count: 0<br>Enrollment: 13636<br>Rate per 1000 students: 0.0","Universidad Metropolitana<br>Bayamon, PR<br>Crime Count: 0<br>Enrollment: 13636<br>Rate per 1000 students: 0.0"
39,Universidad Del Turabo,Main Campus,CARR. # 189 KM 3.3,GURABO,PR,7783030,2,"Private nonprofit, 4-year or above",6969,10198,17167,0,0,0,1,"CARR. # 189 KM 3.3, GURABO, PR","[18.244559, -66.00668499999999]",18.244559,-66.006685,0.1,0,0,0,"Universidad Del Turabo<br>Gurabo, PR<br>Crime Count: 1<br>Enrollment: 17167<br>Rate per 1000 students: 0.1","Universidad Del Turabo<br>Gurabo, PR<br>Crime Count: 0<br>Enrollment: 17167<br>Rate per 1000 students: 0.0","Universidad Del Turabo<br>Gurabo, PR<br>Crime Count: 0<br>Enrollment: 17167<br>Rate per 1000 students: 0.0","Universidad Del Turabo<br>Gurabo, PR<br>Crime Count: 0<br>Enrollment: 17167<br>Rate per 1000 students: 0.0"
40,Collin County Community College District,Spring Creek Campus,2800 E. Spring Creek,Plano,TX,75074,4,"Public, 2-year",13314,16389,29703,1,0,0,0,"2800 E. Spring Creek, Plano, TX","[33.0506283, -96.6770104]",33.0506283,-96.6770104,0,0,0,0,"Collin County Community College District<br>Plano, TX<br>Crime Count: 0<br>Enrollment: 29703<br>Rate per 1000 students: 0.0","Collin County Community College District<br>Plano, TX<br>Crime Count: 0<br>Enrollment: 29703<br>Rate per 1000 students: 0.0","Collin County Community College District<br>Plano, TX<br>Crime Count: 0<br>Enrollment: 29703<br>Rate per 1000 students: 0.0","Collin County Community College District<br>Plano, TX<br>Crime Count: 1<br>Enrollment: 29703<br>Rate per 1000 students: 0.0"
41,Rockland County BOCES-Practical Nursing Program,Main Campus,65 Parrot Road,West Nyack,NY,10994,7,"Public, less-than 2-year",11,36,47,0,1,0,0,"65 Parrot Road, West Nyack, NY","[41.1199344, -73.98020559999999]",41.1199344,-73.9802056,0,0,21.3,0,"Rockland County BOCES-Practical Nursing Program<br>West Nyack, NY<br>Crime Count: 0<br>Enrollment: 47<br>Rate per 1000 students: 0.0","Rockland County BOCES-Practical Nursing Program<br>West Nyack, NY<br>Crime Count: 0<br>Enrollment: 47<br>Rate per 1000 students: 0.0","Rockland County BOCES-Practical Nursing Program<br>West Nyack, NY<br>Crime Count: 1<br>Enrollment: 47<br>Rate per 1000 students: 21.3","Rockland County BOCES-Practical Nursing Program<br>West Nyack, NY<br>Crime Count: 0<br>Enrollment: 47<br>Rate per 1000 students: 0.0"
45,Brookline College-Albuquerque,Brookline College - Albuquerque Campus,"4201 Central Avenue, NW, Suite J",Albuquerque,NM,87105,3,"Private for-profit, 4-year or above",98,277,375,0,0,0,1,"4201 Central Avenue, NW, Suite J, Albuquerque, NM","[35.0870138, -106.6875313]",35.0870138,-106.6875313,2.7,0,0,0,"Brookline College-Albuquerque<br>Albuquerque, NM<br>Crime Count: 1<br>Enrollment: 375<br>Rate per 1000 students: 2.7","Brookline College-Albuquerque<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 375<br>Rate per 1000 students: 0.0","Brookline College-Albuquerque<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 375<br>Rate per 1000 students: 0.0","Brookline College-Albuquerque<br>Albuquerque, NM<br>Crime Count: 0<br>Enrollment: 375<br>Rate per 1000 students: 0.0"
48,National University College-Ponce,Ponce Branch Campus,PO Box 801243 Coto Laurel,Ponce,PR,7801243,3,"Private for-profit, 4-year or above",454,992,1446,0,0,2,1,"PO Box 801243 Coto Laurel, Ponce, PR","[18.04, -66.546977]",18.04,-66.546977,0.7,1.4,0,0,"National University College-Ponce<br>Ponce, PR<br>Crime Count: 1<br>Enrollment: 1446<br>Rate per 1000 students: 0.7","National University College-Ponce<br>Ponce, PR<br>Crime Count: 2<br>Enrollment: 1446<br>Rate per 1000 students: 1.4","National University College-Ponce<br>Ponce, PR<br>Crime Count: 0<br>Enrollment: 1446<br>Rate per 1000 students: 0.0","National University College-Ponce<br>Ponce, PR<br>Crime Count: 0<br>Enrollment: 1446<br>Rate per 1000 students: 0.0"
49,Salter College-Chicopee,Main Campus,645 Shawinigan Drive,Chicopee,MA,10203744,6,"Private for-profit, 2-year",13,118,131,0,0,0,1,"645 Shawinigan Drive, Chicopee, MA","[42.1613959, -72.5272597]",42.1613959,-72.5272597,7.6,0,0,0,"Salter College-Chicopee<br>Chicopee, MA<br>Crime Count: 1<br>Enrollment: 131<br>Rate per 1000 students: 7.6","Salter College-Chicopee<br>Chicopee, MA<br>Crime Count: 0<br>Enrollment: 131<br>Rate per 1000 students: 0.0","Salter College-Chicopee<br>Chicopee, MA<br>Crime Count: 0<br>Enrollment: 131<br>Rate per 1000 students: 0.0","Salter College-Chicopee<br>Chicopee, MA<br>Crime Count: 0<br>Enrollment: 131<br>Rate per 1000 students: 0.0"
