,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
0,Dine College,Main Campus,"Route 12, NHC Bldg. 1st Floor, Room 113",TSAILE,AZ,86556,1,"Public, 4-year or above",463,933,1396,0,0,0,4,"Dine College, TSAILE, AZ","[36.2938846, -109.2161569]",36.2938846,-109.2161569,0,0,0,0,"Dine College<br>Tsaile, AZ<br>Crime Count: 4<br>Enrollment: 1396<br>Rate per 1000 students: 0.0","Dine College<br>Tsaile, AZ<br>Crime Count: 0<br>Enrollment: 1396<br>Rate per 1000 students: 0.0","Dine College<br>Tsaile, AZ<br>Crime Count: 0<br>Enrollment: 1396<br>Rate per 1000 students: 0.0","Dine College<br>Tsaile, AZ<br>Crime Count: 0<br>Enrollment: 1396<br>Rate per 1000 students: 0.0"
1,Dine College,Shiprock,Box 580,Shiprock,NM,87420,1,"Public, 4-year or above",463,933,1396,0,0,0,1,"Dine College, Shiprock, NM","[36.8035642, -108.6945036]",36.8035642,-108.6945036,0,0,0,0,"Dine College<br>Shiprock, NM<br>Crime Count: 1<br>Enrollment: 1396<br>Rate per 1000 students: 0.0","Dine College<br>Shiprock, NM<br>Crime Count: 0<br>Enrollment: 1396<br>Rate per 1000 students: 0.0","Dine College<br>Shiprock, NM<br>Crime Count: 0<br>Enrollment: 1396<br>Rate per 1000 students: 0.0","Dine College<br>Shiprock, NM<br>Crime Count: 0<br>Enrollment: 1396<br>Rate per 1000 students: 0.0"
2,Northern Arizona University,Flagstaff Mountain Campus,"Knoles Drive, Babbit Administrative Ctr",FLAGSTAFF,AZ,860114132,1,"Public, 4-year or above",12014,18347,30361,23,2,2,9,"Northern Arizona University, FLAGSTAFF, AZ","[35.1851895, -111.6547075]",35.1851895,-111.6547075,0,0,0,0,"Northern Arizona University<br>Flagstaff, AZ<br>Crime Count: 9<br>Enrollment: 30361<br>Rate per 1000 students: 0.0","Northern Arizona University<br>Flagstaff, AZ<br>Crime Count: 2<br>Enrollment: 30361<br>Rate per 1000 students: 0.0","Northern Arizona University<br>Flagstaff, AZ<br>Crime Count: 2<br>Enrollment: 30361<br>Rate per 1000 students: 0.0","Northern Arizona University<br>Flagstaff, AZ<br>Crime Count: 23<br>Enrollment: 30361<br>Rate per 1000 students: 0.0"
3,University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,4301 W MARKHAM SLOT 583,LITTLE ROCK,AR,72205,1,"Public, 4-year or above",938,1931,2869,0,0,0,2,"University of Arkansas for Medical Sciences, LITTLE ROCK, AR","[34.7485426, -92.32145659999999]",34.7485426,-92.3214566,0,0,0,0,"University of Arkansas for Medical Sciences<br>Little Rock, AR<br>Crime Count: 2<br>Enrollment: 2869<br>Rate per 1000 students: 0.0","University of Arkansas for Medical Sciences<br>Little Rock, AR<br>Crime Count: 0<br>Enrollment: 2869<br>Rate per 1000 students: 0.0","University of Arkansas for Medical Sciences<br>Little Rock, AR<br>Crime Count: 0<br>Enrollment: 2869<br>Rate per 1000 students: 0.0","University of Arkansas for Medical Sciences<br>Little Rock, AR<br>Crime Count: 0<br>Enrollment: 2869<br>Rate per 1000 students: 0.0"
7,University of South Florida-Main Campus,USF Tampa Campus,4202 EAST FOWLER AVE  UPB002,TAMPA,FL,336209951,1,"Public, 4-year or above",19485,23376,42861,4,3,4,1,"University of South Florida-Main Campus, TAMPA, FL","[28.0587031, -82.41385389999999]",28.0587031,-82.4138539,0,0,0,0,"University of South Florida-Main Campus<br>Tampa, FL<br>Crime Count: 1<br>Enrollment: 42861<br>Rate per 1000 students: 0.0","University of South Florida-Main Campus<br>Tampa, FL<br>Crime Count: 4<br>Enrollment: 42861<br>Rate per 1000 students: 0.0","University of South Florida-Main Campus<br>Tampa, FL<br>Crime Count: 3<br>Enrollment: 42861<br>Rate per 1000 students: 0.0","University of South Florida-Main Campus<br>Tampa, FL<br>Crime Count: 4<br>Enrollment: 42861<br>Rate per 1000 students: 0.0"
8,Chicago State University,Main Campus,9501 S. King Drive Suite ADM #313,CHICAGO,IL,606281598,1,"Public, 4-year or above",1210,2368,3578,0,0,2,1,"Chicago State University, CHICAGO, IL","[41.7179575, -87.6093736]",41.7179575,-87.6093736,0,0,0,0,"Chicago State University<br>Chicago, IL<br>Crime Count: 1<br>Enrollment: 3578<br>Rate per 1000 students: 0.0","Chicago State University<br>Chicago, IL<br>Crime Count: 2<br>Enrollment: 3578<br>Rate per 1000 students: 0.0","Chicago State University<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 3578<br>Rate per 1000 students: 0.0","Chicago State University<br>Chicago, IL<br>Crime Count: 0<br>Enrollment: 3578<br>Rate per 1000 students: 0.0"
9,Illinois State University,Illinois State University,201 S. School St. Hovey Hall rm 421 Campus Box 1000,NORMAL,IL,617901000,1,"Public, 4-year or above",9164,11875,21039,14,2,0,8,"Illinois State University, NORMAL, IL","[40.5122833, -88.9946702]",40.5122833,-88.9946702,0,0,0,0,"Illinois State University<br>Normal, IL<br>Crime Count: 8<br>Enrollment: 21039<br>Rate per 1000 students: 0.0","Illinois State University<br>Normal, IL<br>Crime Count: 0<br>Enrollment: 21039<br>Rate per 1000 students: 0.0","Illinois State University<br>Normal, IL<br>Crime Count: 2<br>Enrollment: 21039<br>Rate per 1000 students: 0.0","Illinois State University<br>Normal, IL<br>Crime Count: 14<br>Enrollment: 21039<br>Rate per 1000 students: 0.0"
10,Northern Kentucky University,Main Campus,"Nunn Drive, AC 800B",Highland Heights,KY,41076,1,"Public, 4-year or above",6145,8397,14542,3,0,0,3,"Northern Kentucky University, Highland Heights, KY","[39.0318034, -84.4643828]",39.0318034,-84.4643828,0,0,0,0,"Northern Kentucky University<br>Highland Heights, KY<br>Crime Count: 3<br>Enrollment: 14542<br>Rate per 1000 students: 0.0","Northern Kentucky University<br>Highland Heights, KY<br>Crime Count: 0<br>Enrollment: 14542<br>Rate per 1000 students: 0.0","Northern Kentucky University<br>Highland Heights, KY<br>Crime Count: 0<br>Enrollment: 14542<br>Rate per 1000 students: 0.0","Northern Kentucky University<br>Highland Heights, KY<br>Crime Count: 3<br>Enrollment: 14542<br>Rate per 1000 students: 0.0"
11,Saint Johns University,Main Campus,Box 2000,COLLEGEVILLE,MN,563212000,2,"Private nonprofit, 4-year or above",1806,43,1849,5,0,0,0,"Saint Johns University, COLLEGEVILLE, MN","[45.5813035, -94.39428819999999]",45.5813035,-94.3942882,0,0,0,0,"Saint Johns University<br>Collegeville, MN<br>Crime Count: 0<br>Enrollment: 1849<br>Rate per 1000 students: 0.0","Saint Johns University<br>Collegeville, MN<br>Crime Count: 0<br>Enrollment: 1849<br>Rate per 1000 students: 0.0","Saint Johns University<br>Collegeville, MN<br>Crime Count: 0<br>Enrollment: 1849<br>Rate per 1000 students: 0.0","Saint Johns University<br>Collegeville, MN<br>Crime Count: 5<br>Enrollment: 1849<br>Rate per 1000 students: 0.0"
13,North Country Community College,Main Campus/Saranac Lake,23 Santanoni Avenue Box 89,SARANAC LAKE,NY,129830089,4,"Public, 2-year",700,1231,1931,0,2,0,0,"North Country Community College, SARANAC LAKE, NY","[44.3188396, -74.1211266]",44.3188396,-74.1211266,0,0,0,0,"North Country Community College<br>Saranac Lake, NY<br>Crime Count: 0<br>Enrollment: 1931<br>Rate per 1000 students: 0.0","North Country Community College<br>Saranac Lake, NY<br>Crime Count: 0<br>Enrollment: 1931<br>Rate per 1000 students: 0.0","North Country Community College<br>Saranac Lake, NY<br>Crime Count: 2<br>Enrollment: 1931<br>Rate per 1000 students: 0.0","North Country Community College<br>Saranac Lake, NY<br>Crime Count: 0<br>Enrollment: 1931<br>Rate per 1000 students: 0.0"
