,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address
27,Concordia College Alabama,Main Campus,1712 Broad Street,SELMA,AL,36701,2,"Private nonprofit, 4-year or above",174.0,166.0,340.0,0,0,0,1,"Concordia College Alabama, 1712 Broad Street, SELMA, AL, 36701"
56,Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717,4,"Public, 2-year",1342.0,1786.0,3128.0,0,0,1,0,"Lawson State Community College-Birmingham Campus, 3060 WILSON RD SW, BIRMINGHAM, AL, 352211717"
95,Troy University,Troy Campus,University Avenue,TROY,AL,360820001,1,"Public, 4-year or above",6871.0,10984.0,17855.0,2,1,1,0,"Troy University, University Avenue, TROY, AL, 360820001"
98,Troy University,Dothan Campus,501 University Drive,Dothan,AL,363040368,1,"Public, 4-year or above",6871.0,10984.0,17855.0,0,0,1,0,"Troy University, 501 University Drive, Dothan, AL, 363040368"
157,Arizona Western College,Main Campus,2020 S. Avenue 8E,YUMA,AZ,85365,4,"Public, 2-year",3314.0,4255.0,7569.0,0,1,0,0,"Arizona Western College, 2020 S. Avenue 8E, YUMA, AZ, 85365"
199,Dine College,Main Campus,"Route 12, NHC Bldg. 1st Floor, Room 113",TSAILE,AZ,86556,1,"Public, 4-year or above",463.0,933.0,1396.0,0,0,0,4,"Dine College, Route 12, NHC Bldg. 1st Floor, Room 113, TSAILE, AZ, 86556"
200,Dine College,Shiprock,Box 580,Shiprock,NM,87420,1,"Public, 4-year or above",463.0,933.0,1396.0,0,0,0,1,"Dine College, Box 580, Shiprock, NM, 87420"
205,Northern Arizona University,Flagstaff Mountain Campus,"Knoles Drive, Babbit Administrative Ctr",FLAGSTAFF,AZ,860114132,1,"Public, 4-year or above",12014.0,18347.0,30361.0,23,2,2,9,"Northern Arizona University, Knoles Drive, Babbit Administrative Ctr, FLAGSTAFF, AZ, 860114132"
212,Northern Arizona University,NAU - Paradise Valley,18401 North 32nd St,Phoenix,AZ,85032,1,"Public, 4-year or above",12014.0,18347.0,30361.0,0,0,0,1,"Northern Arizona University, 18401 North 32nd St, Phoenix, AZ, 85032"
218,Northern Arizona University,NAU - Thatcher Campus,615 North Stadium Dr,Thatcher,AZ,85552,1,"Public, 4-year or above",12014.0,18347.0,30361.0,0,0,0,1,"Northern Arizona University, 615 North Stadium Dr, Thatcher, AZ, 85552"
246,Pima Community College,West Campus,2202 W. Anklam Rd.,Tucson,AZ,857090001,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"Pima Community College, 2202 W. Anklam Rd., Tucson, AZ, 857090001"
247,Pima Community College,Downtown Campus,1255 N. Stone Ave.,Tucson,AZ,857073000,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"Pima Community College, 1255 N. Stone Ave., Tucson, AZ, 857073000"
249,Pima Community College,East Campus,8181 E. Irvington Rd.,Tucson,AZ,857094000,4,"Public, 2-year",11711.0,13245.0,24956.0,0,0,1,0,"Pima Community College, 8181 E. Irvington Rd., Tucson, AZ, 857094000"
255,Pima Community College,29th Street Coalition Center,4355 S. Calle Aurora,Tucson,AZ,857095520,4,"Public, 2-year",11711.0,13245.0,24956.0,0,1,0,0,"Pima Community College, 4355 S. Calle Aurora, Tucson, AZ, 857095520"
299,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,200 E WASHINGTON AVE,NORTH LITTLE ROCK,AR,72114,9,"Private for-profit, less-than 2-year",78.0,53.0,131.0,0,0,0,1,"Arkansas College of Barbering and Hair Design, 200 E WASHINGTON AVE, NORTH LITTLE ROCK, AR, 72114"
300,Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,9100 North Rodney Parham Road,Little Rock,AR,72205,9,"Private for-profit, less-than 2-year",78.0,53.0,131.0,0,0,0,1,"Arkansas College of Barbering and Hair Design, 9100 North Rodney Parham Road, Little Rock, AR, 72205"
367,Ouachita Baptist University,Main Campus,410 OUACHITA ST,ARKADELPHIA,AR,719980001,2,"Private nonprofit, 4-year or above",698.0,795.0,1493.0,1,0,0,0,"Ouachita Baptist University, 410 OUACHITA ST, ARKADELPHIA, AR, 719980001"
436,Cabrillo College,Aptos Campus,6500 SOQUEL DR,APTOS,CA,95003,4,"Public, 2-year",5466.0,6512.0,11978.0,0,0,0,3,"Cabrillo College, 6500 SOQUEL DR, APTOS, CA, 95003"
447,California Lutheran University,Main Campus,60 W OLSEN RD,THOUSAND OAKS,CA,913602787,2,"Private nonprofit, 4-year or above",1738.0,2436.0,4174.0,2,1,0,2,"California Lutheran University, 60 W OLSEN RD, THOUSAND OAKS, CA, 913602787"
448,California Lutheran University,California Lutheran University Oxnard Campus,"2201 Outlet Center Drive, Suite 600",Oxnard,CA,93036,2,"Private nonprofit, 4-year or above",1738.0,2436.0,4174.0,0,1,0,0,"California Lutheran University, 2201 Outlet Center Drive, Suite 600, Oxnard, CA, 93036"
484,University of California-Davis,Main Campus,One Shields Avenue,DAVIS,CA,956168678,1,"Public, 4-year or above",15217.0,21243.0,36460.0,8,3,1,1,"University of California-Davis, One Shields Avenue, DAVIS, CA, 956168678"
485,University of California-Davis,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento,CA,95817,1,"Public, 4-year or above",15217.0,21243.0,36460.0,1,3,1,3,"University of California-Davis, 2315 Stockton Blvd., Sacramento, CA, 95817"
486,University of California-Irvine,UCI Main Campus,"University of California, Irvine",IRVINE,CA,92697,1,"Public, 4-year or above",15816.0,16938.0,32754.0,20,16,2,3,"University of California-Irvine, University of California, Irvine, IRVINE, CA, 92697"
487,University of California-Irvine,UCI Medical Center,101 The City Drive,Orange,CA,92868,1,"Public, 4-year or above",15816.0,16938.0,32754.0,1,7,0,0,"University of California-Irvine, 101 The City Drive, Orange, CA, 92868"
491,University of California-San Francisco,Main Campus - Parnassus,500 Parnassus Ave,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,3,1,4,"University of California-San Francisco, 500 Parnassus Ave, San Francisco, CA, 941430402"
492,University of California-San Francisco,Mission Bay,550 16th Street,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,2,1,0,"University of California-San Francisco, 550 16th Street, San Francisco, CA, 941430402"
493,University of California-San Francisco,Mount Zion,1600 Divisadero Street,San Francisco,CA,941430402,1,"Public, 4-year or above",1155.0,1990.0,3145.0,0,0,0,1,"University of California-San Francisco, 1600 Divisadero Street, San Francisco, CA, 941430402"
558,Columbia College,Main Campus,11600 COLUMBIA COLLEGE DR,SONORA,CA,95370,4,"Public, 2-year",1064.0,1356.0,2420.0,0,1,0,0,"Columbia College, 11600 COLUMBIA COLLEGE DR, SONORA, CA, 95370"
592,Feather River Community College District,Main Campus,570 GOLDEN EAGLE AVE,QUINCY,CA,95971,4,"Public, 2-year",998.0,975.0,1973.0,0,0,0,2,"Feather River Community College District, 570 GOLDEN EAGLE AVE, QUINCY, CA, 95971"
633,Hartnell College,Main Campus,411 Central Avenue,SALINAS,CA,93901,4,"Public, 2-year",6608.0,5720.0,12328.0,0,0,0,1,"Hartnell College, 411 Central Avenue, SALINAS, CA, 93901"
635,Hartnell College,Hartnell College Allisal Campus,1752 E. Alisal St.,Salinas,CA,93905,4,"Public, 2-year",6608.0,5720.0,12328.0,0,0,0,1,"Hartnell College, 1752 E. Alisal St., Salinas, CA, 93905"
675,Lassen Community College,Main campus,478-200 HWY 139,SUSANVILLE,CA,96130,4,"Public, 2-year",1739.0,488.0,2227.0,1,0,0,0,"Lassen Community College, 478-200 HWY 139, SUSANVILLE, CA, 96130"
683,Long Beach City College,Liberal Arts Campus,4901 East Carson Street,Long Beach,CA,90808,4,"Public, 2-year",11199.0,13505.0,24704.0,0,0,1,0,"Long Beach City College, 4901 East Carson Street, Long Beach, CA, 90808"
